game,turn,clay,ore,sheep,wheat,wood,roads,settlements,cities,vp,num_moves
6,26,1,2,3,3,0,3,2,0,2,1
6,30,2,3,0,3,0,3,2,0,2,15
6,34,2,1,1,2,1,3,1,1,3,14
6,38,0,1,1,2,0,3,1,1,3,6
6,42,0,1,3,2,2,3,1,1,3,1
6,46,0,3,5,2,0,3,1,1,3,19
6,50,1,1,1,4,4,3,0,2,4,27
6,54,1,0,1,3,1,3,0,2,4,13
6,58,0,3,2,3,0,3,1,2,5,7
6,62,4,0,2,1,1,3,0,3,6,16
6,66,1,0,6,1,1,4,0,3,6,24
6,70,2,1,5,0,1,4,1,3,7,22
6,74,1,3,1,0,1,5,1,3,7,13
6,78,3,5,8,0,0,6,1,3,7,24
6,82,6,5,4,2,1,6,1,3,7,66
6,86,1,4,7,3,0,6,1,4,9,3
6,90,1,4,9,1,1,6,1,4,9,112
6,94,0,4,21,5,0,7,1,4,9,14
6,98,3,5,22,9,1,7,1,4,9,35
7,4,0,0,0,0,0,0,0,0,0,24
7,11,0,1,1,1,1,2,2,0,2,1
7,15,0,1,1,1,2,2,2,0,2,1
7,19,0,3,1,1,3,2,2,0,2,1
7,23,0,3,2,2,0,2,2,0,2,8
7,27,2,0,2,0,3,2,1,1,3,29
7,31,0,0,2,0,1,4,1,1,3,1
7,35,0,0,0,1,1,4,1,1,3,14
7,39,0,0,2,1,1,4,1,1,3,1
7,43,0,1,2,1,1,4,1,1,3,1
7,47,0,1,3,1,1,4,1,1,3,1
7,51,2,1,3,1,3,4,1,1,3,48
7,55,1,2,2,0,0,5,2,1,4,6
7,59,2,2,0,1,3,5,2,1,4,82
7,63,0,3,1,2,0,7,2,1,4,8
7,67,0,1,2,3,0,7,1,2,5,6
7,71,2,3,3,2,0,7,1,2,5,16
7,75,2,2,5,2,4,7,0,3,6,364
8,1,0,0,0,0,0,0,0,0,0,72
8,8,0,0,0,0,0,1,1,0,1,1
8,12,0,1,3,0,1,2,2,0,2,1
8,16,1,3,1,0,1,2,2,0,2,13
8,20,0,3,7,0,0,3,2,0,2,6
8,24,0,3,5,1,0,3,2,0,2,6
8,28,0,5,3,2,0,3,2,0,2,12
8,32,1,1,3,0,0,3,1,1,3,6
8,36,3,1,2,0,0,3,1,1,3,13
8,40,3,3,2,1,0,3,1,1,3,1
