game,turn,clay,ore,sheep,wheat,wood,roads,settlements,cities,vp,num_moves
0,1,0,0,0,0,0,0,0,0,0,72
0,8,0,0,0,0,0,1,1,0,1,1
0,9,0,1,1,0,1,2,2,0,2,1
0,13,0,1,3,0,1,2,2,0,2,1
0,17,1,1,4,0,1,2,2,0,2,48
0,21,4,1,0,0,1,3,2,0,2,82
0,25,0,2,0,0,0,4,2,0,2,6
0,29,2,3,0,1,0,4,2,0,2,1
0,33,3,3,0,1,0,4,2,0,2,1
0,37,0,4,1,2,0,4,2,0,2,22
0,41,2,1,3,0,0,4,1,1,3,1
0,45,3,2,1,0,2,4,1,1,3,290
0,49,2,0,2,1,2,6,1,1,3,294
0,53,0,1,0,1,0,8,1,1,3,6
0,57,1,3,2,2,0,8,1,1,3,2
0,61,1,3,0,3,2,8,1,1,3,174
0,65,0,3,4,2,3,9,1,1,3,28
0,69,0,2,2,3,3,9,0,2,4,1
1,2,0,0,0,0,0,0,0,0,0,60
1,7,0,0,0,0,0,1,1,0,1,24
1,10,2,0,1,0,0,2,2,0,2,1
1,14,2,1,1,0,0,2,2,0,2,1
1,18,2,1,2,0,0,2,2,0,2,1
1,22,3,1,3,1,0,2,2,0,2,1
1,26,1,1,4,1,0,2,2,0,2,14
1,30,1,1,2,2,1,2,2,0,2,14
1,34,1,1,0,4,1,2,2,0,2,54
1,38,1,1,1,1,1,3,2,0,2,15
1,42,0,2,1,2,0,4,2,0,2,1
1,46,0,2,3,2,0,4,2,0,2,1
1,50,1,2,3,3,0,4,2,0,2,1
1,54,1,2,4,0,1,4,2,0,2,28
1,58,0,2,5,0,0,5,2,0,2,6
1,62,1,3,5,0,0,5,2,0,2,13
1,66,1,3,1,1,1,5,2,0,2,15
1,70,1,0,2,2,1,5,2,0,2,48
1,74,0,1,3,0,0,6,2,0,2,6
1,78,3,1,3,0,0,6,2,0,2,1
1,82,1,1,4,0,1,6,2,0,2,20
1,86,2,2,4,0,1,6,2,0,2,46
1,90,2,2,1,2,2,6,2,0,2,72
1,94,3,2,0,2,0,7,3,0,3,1
1,98,3,3,0,3,0,7,3,0,3,4
1,102,5,0,0,0,1,7,2,1,4,14
2,3,0,0,0,0,0,0,0,0,0,51
2,5,0,0,0,0,0,1,1,0,1,21
