game,turn,clay,ore,sheep,wheat,wood,roads,settlements,cities,vp,num_moves
0,4,0,0,0,0,0,0,0,0,0,36
0,5,0,0,0,0,0,1,1,0,1,36
0,12,0,0,2,1,3,2,2,0,2,1
0,16,1,0,0,1,4,2,2,0,2,18
0,20,0,0,0,2,3,3,2,0,2,1
0,24,1,0,1,0,3,3,2,0,2,14
0,28,0,0,1,0,2,4,2,0,2,1
0,32,0,0,1,3,2,4,2,0,2,1
0,36,1,0,1,0,3,4,2,0,2,14
0,40,0,0,1,1,3,5,2,0,2,1
0,44,0,0,1,2,3,5,2,0,2,1
0,48,1,0,2,2,0,5,2,0,2,6
0,52,1,0,0,4,1,5,2,0,2,26
0,56,1,0,0,1,1,6,2,0,2,13
0,60,0,0,0,2,2,7,2,0,2,1
0,64,0,0,1,0,3,7,2,0,2,14
0,68,0,0,1,0,4,7,2,0,2,6
1,1,0,0,0,0,0,0,0,0,0,72
1,8,0,0,0,0,0,1,1,0,1,1
1,9,0,0,0,0,1,2,2,0,2,1
1,13,0,1,0,0,2,2,2,0,2,1
1,17,0,1,0,0,3,2,2,0,2,1
1,21,0,3,0,0,3,2,2,0,2,1
1,25,1,1,0,1,3,2,2,0,2,13
1,29,0,3,0,2,3,3,2,0,2,3
1,33,0,2,0,1,3,3,1,1,3,1
1,37,0,0,0,4,3,3,1,1,3,13
1,41,1,3,0,2,3,3,1,1,3,26
1,45,1,0,0,0,0,4,0,2,4,6
1,49,2,0,0,2,2,4,0,2,4,83
1,53,1,0,0,0,2,6,0,2,4,16
1,57,0,0,0,0,3,7,0,2,4,1
1,61,1,0,0,0,3,7,0,2,4,16
1,65,0,0,0,2,2,8,0,2,4,1
1,69,0,0,0,3,0,8,0,2,4,6
1,73,1,0,0,1,2,8,0,2,4,16
1,77,1,4,0,3,1,9,0,2,4,15
1,81,0,8,0,4,0,10,0,2,4,6
1,85,1,8,0,4,0,10,0,2,4,10
1,89,1,8,0,6,0,10,0,2,4,28
1,93,1,12,0,6,3,10,0,2,4,180
1,97,0,8,0,9,2,11,0,2,4,26
1,101,1,8,0,13,2,11,0,2,4,26
2,2,0,0,0,0,0,0,0,0,0,60
2,6,0,0,0,0,0,1,1,0,1,15
2,9,0,2,0,1,1,2,2,0,2,1
2,13,0,3,0,3,1,2,2,0,2,3
2,17,0,4,0,1,2,2,2,0,2,18
2,21,1,4,0,1,2,2,2,0,2,30
2,25,0,4,0,3,2,3,2,0,2,18
2,29,1,1,0,1,4,3,1,1,3,18
2,33,2,3,0,1,3,4,1,1,3,37
2,37,1,3,0,0,1,6,1,1,3,18
2,41,1,3,0,0,5,6,1,1,3,66
2,45,1,1,0,3,4,7,1,1,3,27
2,49,0,3,0,3,6,8,1,1,3,64
2,53,1,0,0,3,2,8,0,2,4,17
2,57,3,0,0,3,3,9,0,2,4,401
2,61,0,0,1,3,2,12,0,2,4,14
2,65,4,0,1,1,3,12,0,2,4,636
2,69,4,0,0,0,4,14,1,2,5,70
2,73,5,0,0,2,4,15,1,2,5,110
2,77,4,0,1,2,4,15,1,2,5,129
2,81,6,0,2,6,4,15,1,2,5,478
2,85,5,0,2,9,7,15,2,2,6,307
2,89,8,0,3,13,5,15,2,2,6,480
2,93,11,1,3,17,3,15,2,2,6,452
2,97,10,1,3,18,5,15,2,2,6,372
3,2,0,0,0,0,0,0,0,0,0,60
3,6,0,0,0,0,0,1,1,0,1,21
3,9,0,0,1,1,0,2,2,0,2,1
3,13,2,0,2,1,0,2,2,0,2,1
3,17,2,0,2,1,1,2,2,0,2,9
3,21,1,0,2,2,1,3,2,0,2,11
3,25,0,1,2,3,2,4,2,0,2,1
3,29,1,1,2,0,3,4,2,0,2,14
3,33,0,2,2,1,3,5,2,0,2,1
3,37,0,2,3,1,3,5,2,0,2,1
3,41,2,2,0,1,3,5,2,0,2,59
3,45,0,3,0,1,3,7,2,0,2,1
3,49,0,3,1,2,3,7,2,0,2,3
3,53,1,0,3,0,1,7,1,1,3,13
4,3,0,0,0,0,0,0,0,0,0,54
4,6,0,0,0,0,0,1,1,0,1,27
4,10,1,0,0,1,1,2,2,0,2,8
4,14,2,1,0,1,0,3,2,0,2,1
4,18,3,1,0,1,1,3,2,0,2,9
4,22,2,2,0,1,1,4,2,0,2,8
4,26,3,3,0,2,2,4,2,0,2,87
4,30,2,0,0,0,3,5,1,1,3,29
4,34,0,1,0,0,4,7,1,1,3,6
4,38,3,1,0,2,6,7,1,1,3,257
4,42,5,1,0,2,5,8,1,1,3,306
4,46,7,1,0,2,3,10,1,1,3,513
4,50,6,1,0,2,1,13,1,1,3,50
4,54,3,1,0,2,1,14,1,1,3,12
4,58,2,1,0,2,1,15,1,1,3,12
4,62,2,1,0,2,4,15,1,1,3,48
4,66,3,2,1,2,4,15,1,1,3,436
4,70,4,2,0,1,5,15,2,1,4,150
4,74,4,4,0,1,7,15,2,1,4,1000
4,78,6,4,0,2,5,15,2,1,4,1402
5,2,0,0,0,0,0,0,0,0,0,63
5,6,0,0,0,0,0,1,1,0,1,21
5,9,0,0,1,1,0,2,2,0,2,1
5,13,0,0,3,2,1,2,2,0,2,1
5,17,1,0,1,2,1,2,2,0,2,14
5,21,1,0,2,2,2,3,2,0,2,13
5,25,0,0,3,3,3,4,2,0,2,1
5,29,1,0,5,4,1,4,2,0,2,38
5,33,1,0,4,5,0,5,2,0,2,10
5,37,1,0,5,2,1,5,2,0,2,26
5,41,0,1,2,2,0,6,2,0,2,6
5,45,0,1,3,2,0,6,2,0,2,1
5,49,0,1,1,2,5,6,2,0,2,19
5,53,1,1,3,2,3,6,2,0,2,15
5,57,1,1,3,2,2,7,2,0,2,16
5,61,0,1,5,2,3,8,2,0,2,16
5,65,1,1,2,2,5,8,2,0,2,30
5,69,0,1,4,3,4,9,2,0,2,19
5,73,1,1,5,3,2,9,2,0,2,32
5,77,1,1,2,3,3,10,2,0,2,17
5,81,1,1,4,3,2,11,2,0,2,30
5,85,1,1,1,5,1,12,2,0,2,30
5,89,1,1,1,2,2,13,2,0,2,17
5,93,0,1,2,1,1,13,3,0,3,1
5,97,0,1,3,1,1,13,3,0,3,1
6,4,0,0,0,0,0,0,0,0,0,36
6,5,0,0,0,0,0,1,1,0,1,36
6,12,0,0,2,0,2,2,2,0,2,1
6,16,0,0,3,0,2,2,2,0,2,1
6,20,1,0,5,0,0,2,2,0,2,17
6,24,1,0,6,0,0,2,2,0,2,13
6,28,1,0,3,1,1,2,2,0,2,48
6,32,1,0,0,1,1,3,2,0,2,14
6,36,0,0,2,1,2,4,2,0,2,1
6,40,0,0,3,1,2,4,2,0,2,1
6,44,0,0,4,1,2,4,2,0,2,14
6,48,0,0,4,2,3,4,2,0,2,12
6,52,1,0,0,2,5,4,2,0,2,21
6,56,1,1,0,3,3,4,2,0,2,37
6,60,1,1,2,3,4,4,2,0,2,16
6,64,0,1,3,3,3,5,2,0,2,1
6,68,0,1,5,3,4,5,2,0,2,15
6,72,1,1,7,3,1,5,2,0,2,20
6,76,0,1,4,4,2,6,2,0,2,12
6,80,1,1,6,1,2,6,2,0,2,22
6,84,0,1,3,2,4,7,2,0,2,12
6,88,1,1,1,2,5,7,2,0,2,22
6,92,1,1,1,2,1,8,2,0,2,13
6,96,1,1,2,2,1,8,2,0,2,8
7,2,0,0,0,0,0,0,0,0,0,60
7,6,0,0,0,0,0,1,1,0,1,6
7,9,0,1,1,3,0,2,2,0,2,1
7,13,0,3,1,5,0,2,2,0,2,10
7,17,0,1,3,5,0,2,1,1,3,6
7,21,0,2,4,1,0,2,1,1,3,10
7,25,0,2,1,2,1,2,1,1,3,7
7,29,0,2,0,2,2,2,1,1,3,15
7,33,0,3,0,6,2,2,1,1,3,28
7,37,1,2,3,4,2,2,0,2,4,14
7,41,0,5,7,4,1,3,0,2,4,38
7,45,1,7,5,8,1,3,0,2,4,38
7,49,0,9,3,11,0,4,0,2,4,14
7,53,0,9,6,7,0,4,0,2,4,14
7,57,0,7,9,11,0,4,0,2,4,14
7,61,0,5,9,18,0,4,0,2,4,14
7,65,0,7,12,16,0,4,0,2,4,14
7,69,1,5,12,20,0,4,0,2,4,14
