game,turn,clay,ore,sheep,wheat,wood,roads,settlements,cities,vp,num_moves
6,23,2,1,0,0,2,4,2,0,2,82
6,27,0,1,0,0,0,6,2,0,2,1
6,31,1,1,0,0,0,6,2,0,2,1
6,35,2,3,0,0,0,6,2,0,2,1
6,39,3,3,0,0,1,6,2,0,2,11
6,43,4,3,0,0,2,7,2,0,2,138
6,47,3,4,0,0,3,8,2,0,2,1392
6,51,0,0,0,0,1,11,2,0,2,6
6,55,0,0,0,1,1,11,2,0,2,16
6,59,1,0,0,0,4,11,2,0,2,26
6,63,1,1,0,0,3,12,2,0,2,10
6,67,2,1,0,0,2,13,2,0,2,37
6,71,0,2,0,0,0,15,2,0,2,1
6,75,1,0,0,0,2,15,2,0,2,15
6,79,2,0,0,0,2,15,2,0,2,46
6,83,3,1,0,0,2,15,2,0,2,46
6,87,3,3,0,0,2,15,2,0,2,46
6,91,3,3,0,0,2,15,2,0,2,37
6,95,3,3,0,0,3,15,2,0,2,93
7,1,0,0,0,0,0,0,0,0,0,72
7,7,0,0,0,0,0,1,1,0,1,3
7,8,0,0,2,1,0,2,2,0,2,1
7,12,2,2,2,1,0,2,2,0,2,1
7,16,2,0,2,3,1,2,2,0,2,18
7,20,2,0,2,0,1,3,2,0,2,15
7,24,3,0,3,1,0,4,2,0,2,1
7,28,0,1,4,2,0,4,2,0,2,6
7,32,0,3,2,2,0,4,2,0,2,8
7,36,0,5,0,3,0,4,2,0,2,22
7,40,0,4,1,3,0,4,1,1,3,8
7,44,0,6,2,4,0,4,1,1,3,12
7,48,0,4,3,6,0,4,1,1,3,16
7,52,2,3,3,6,0,4,0,2,4,16
7,56,4,3,1,8,1,4,0,2,4,36
7,60,3,4,2,5,1,4,0,3,6,41
7,64,6,7,4,3,0,5,0,3,6,50
7,68,10,10,0,3,0,5,0,3,6,38
7,72,11,8,2,3,0,5,0,3,6,26
8,2,0,0,0,0,0,0,0,0,0,63
8,7,0,0,0,0,0,1,1,0,1,21
8,9,1,0,0,2,1,2,2,0,2,8
