turn,clay,ore,sheep,wheat,wood,roads,settlements,cities,vp,num_moves
43,2,0,0,0,0,3,1,1,3,14
47,2,0,0,0,1,3,1,1,3,9
51,1,0,2,0,1,4,1,1,3,10
55,2,2,2,0,0,5,1,1,3,1
59,2,4,2,1,1,5,1,1,3,113
63,1,4,1,2,0,5,2,1,4,19
67,1,1,3,3,0,5,1,2,5,1
71,1,4,3,2,0,5,1,2,5,30
75,1,1,3,0,1,5,0,3,6,15
79,0,3,7,2,0,6,0,3,6,6
83,0,3,17,2,0,6,0,3,6,6
4,0,0,0,0,0,0,0,0,0,33
11,1,3,0,2,1,2,2,0,2,27
15,0,0,1,0,0,3,1,1,3,1
19,0,0,2,0,0,3,1,1,3,6
23,4,0,2,0,4,3,1,1,3,206
27,2,2,3,1,2,5,1,1,3,30
31,3,2,2,0,3,6,2,1,4,64
35,4,4,0,2,3,7,2,1,4,692
39,2,3,3,3,7,7,1,2,5,1068
43,2,3,8,2,2,7,1,3,7,284
47,0,0,10,0,1,9,0,4,8,16
51,0,4,10,2,4,9,0,4,8,454
55,2,9,10,4,4,9,0,4,8,372
3,0,0,0,0,0,0,0,0,0,51
6,0,0,0,0,0,1,1,0,1,24
11,2,2,1,0,0,2,2,0,2,1
15,2,2,2,0,1,2,2,0,2,9
19,3,2,3,0,0,3,2,0,2,1
23,3,2,4,0,0,3,2,0,2,15
27,3,2,4,0,0,3,2,0,2,15
31,3,2,1,1,1,3,2,0,2,97
35,6,3,0,0,1,3,2,0,2,96
39,6,0,2,1,1,3,2,0,2,174
43,1,1,2,0,1,3,3,0,3,15
47,0,2,4,0,0,4,3,0,3,6
51,0,4,4,0,2,4,3,0,3,28
55,2,1,5,1,2,4,3,0,3,482
59,2,5,0,0,0,5,4,0,4,2
63,2,3,0,1,0,5,4,0,4,1
67,2,0,1,1,1,5,4,0,4,16
71,2,0,3,0,0,5,5,0,5,1
75,3,2,3,0,0,5,5,0,5,1
79,9,3,5,0,0,5,5,0,5,28
83,12,3,7,0,0,5,5,0,5,28
87,3,4,9,0,1,5,5,0,5,172
91,4,4,11,0,1,6,5,0,5,44
95,6,4,11,0,2,7,5,0,5,1268
99,5,5,11,0,1,8,5,0,5,278
1,0,0,0,0,0,0,0,0,0,72
8,0,0,0,0,0,1,1,0,1,8
12,1,0,0,1,1,3,2,0,2,9
16,1,0,0,1,0,4,2,0,2,1
20,3,1,0,2,1,4,2,0,2,9
24,3,2,0,2,0,5,2,0,2,1
28,4,3,0,3,1,5,2,0,2,66
32,3,1,0,2,0,6,1,1,3,15
36,3,1,1,2,1,6,1,1,3,18
40,1,2,0,2,3,6,2,1,4,10
44,3,3,1,4,2,7,2,1,4,2141
48,4,0,2,1,0,8,2,2,6,6
52,7,0,3,2,4,8,2,2,6,2830
2,0,0,0,0,0,0,0,0,0,60
7,0,0,0,0,0,1,1,0,1,36
10,1,0,1,0,1,2,2,0,2,8
14,1,1,2,0,0,3,2,0,2,1
18,1,2,3,1,1,3,2,0,2,10
22,0,2,2,0,0,3,3,0,3,1
26,1,2,3,0,0,3,3,0,3,1
30,2,2,2,0,1,3,3,0,3,14
34,1,3,4,2,1,4,3,0,3,242
38,1,2,6,0,0,5,2,1,4,16
42,1,3,3,3,1,5,2,1,4,106
46,0,0,2,2,2,5,2,2,6,1
50,0,0,3,1,2,5,2,2,6,1
54,1,0,3,3,0,5,2,2,6,6
58,2,0,3,3,3,5,2,2,6,57
62,0,3,3,5,2,6,3,2,7,23
66,0,6,0,6,3,6,2,3,8,112
2,0,0,0,0,0,0,0,0,0,60
7,0,0,0,0,0,1,1,0,1,24
10,0,1,0,1,1,2,2,0,2,1
14,0,1,0,1,2,2,2,0,2,1
18,0,1,1,2,2,2,2,0,2,1
22,1,1,1,2,1,2,2,0,2,14
26,0,1,1,2,0,3,2,0,2,1
30,0,2,1,2,1,3,2,0,2,1
34,1,2,1,2,1,3,2,0,2,11
38,0,2,1,1,2,3,3,0,3,1
42,1,2,2,1,2,3,3,0,3,15
46,0,2,4,1,3,4,3,0,3,15
50,0,2,6,1,3,4,3,0,3,15
54,0,2,7,1,3,4,3,0,3,15
58,1,3,8,3,1,4,3,0,3,196
62,1,0,6,3,1,5,2,1,4,16
1,0,0,0,0,0,0,0,0,0,72
8,0,0,0,0,0,1,1,0,1,1
12,0,2,1,0,0,2,2,0,2,1
16,0,4,1,1,0,2,2,0,2,6
20,0,5,2,1,0,2,2,0,2,6
24,0,5,2,2,0,2,2,0,2,10
28,0,2,4,0,0,2,1,1,3,6
32,1,2,4,0,0,2,1,1,3,14
36,1,4,0,2,0,2,1,1,3,27
40,3,3,2,0,0,2,0,2,4,1
44,7,3,2,2,0,2,0,2,4,14
48,7,3,2,2,0,2,0,2,4,14
52,7,5,6,0,1,2,0,2,4,50
56,6,5,6,2,1,3,0,2,4,41
60,5,7,6,2,0,4,0,2,4,38
64,7,7,6,2,0,4,0,2,4,38
2,0,0,0,0,0,0,0,0,0,63
7,0,0,0,0,0,1,1,0,1,21
10,1,0,0,0,1,2,2,0,2,9
14,0,1,2,0,2,3,2,0,2,1
18,1,2,0,0,2,3,2,0,2,96
22,1,3,0,0,4,3,2,0,2,24
26,0,3,1,1,1,4,2,0,2,16
30,2,3,1,1,3,4,2,0,2,70
